id,lv,en,group,notes
apmierinats,apmierināts,satisfied; content,optimists,adjective
aspratigs,asprātīgs,witty; quick-witted,optimists,adjective
atbalsta_citus,atbalsta citus,supports others,optimists,phrase about behaviour
atbildigs,atbildīgs,responsible; reliable,optimists,adjective
bezpalidzigs,bezpalīdzīgs,helpless,pesimists,adjective
bezpalidziba,bezpalīdzība,helplessness,pesimists,abstract noun
bezpalidzigs_cilveks,bezpalīdzīgs cilvēks,a helpless person,pesimists,person description
bedigs,bēdīgs,sad,pesimists,adjective
centigs,centīgs,diligent; industrious,optimists,adjective
cakls,čakls,hard-working,optimists,adjective
dasns,dāsns,generous,optimists,adjective; synonym of "devīgs"
devigs,devīgs,generous; giving,optimists,adjective
drums,drūms,gloomy,pesimists,adjective
drosmigs,drosmīgs,brave; courageous,optimists,adjective
igns,īgns,grumpy; annoyed,pesimists,adjective
ignums,īgnums,grumpiness; annoyance,pesimists,abstract noun
igns_cilveks,īgns cilvēks,a grumpy person,pesimists,person description
izpalidzigs,izpalīdzīgs,helpful,optimists,adjective
kautrigs,kautrīgs,shy; timid,neutral,adjective
laimigs,laimīgs,happy,optimists,adjective
mierigs,mierīgs,calm; peaceful,optimists,adjective
merktiecigs,mērķtiecīgs,purposeful; goal-oriented,optimists,adjective
negaida_nakotne,negaida neko labu nākotnē,doesn't expect anything good in the future,pesimists,phrase about attitude
nevienam_netic,nevienam netic,doesn't believe anyone,pesimists,phrase about attitude
noslegts,noslēgts,reserved; closed,pesimists,adjective
noslegtiba,noslēgtība,seclusion; closedness,pesimists,abstract noun
noslegts_cilveks,noslēgts cilvēks,a reserved person,pesimists,person description
pacietigs,pacietīgs,patient,optimists,adjective
priecigs,priecīgs,cheerful; joyful,optimists,adjective
parliecinats,pārliecināts par sevi,self-confident,optimists,phrase about attitude
skops,skops,stingy,pesimists,adjective
slinks,slinks,lazy,pesimists,adjective
taisnigs,taisnīgs,fair; just,optimists,adjective
tic_labajam,tic labajam cilvēkā,believes in the good in people,optimists,phrase about attitude
uznemigs,uzņēmīgs,enterprising; proactive,optimists,adjective
uznemiba,uzņēmība,enterprise; initiative,optimists,abstract noun
uznemigs_cilveks,uzņēmīgs cilvēks,an enterprising person,optimists,person description
varonigs,varonīgs,heroic,optimists,adjective
vieglpratigs,vieglprātīgs,frivolous; careless,pesimists,adjective
vaino_sevi,vaino sevi,blames themself,pesimists,phrase about attitude
zelojas,žēlojas par savu dzīvi,complains about their life,pesimists,phrase about behaviour
